pkt,sample_idx,rssi,ant_array,channel,i,q,slot_duration,sample_rate,filtering
0,0,-71,6,35,198,-314,2,1,0
0,1,-71,6,35,300,213,2,1,0
0,2,-71,6,35,-240,283,2,1,0
0,3,-71,6,35,-279,-243,2,1,0
0,4,-71,6,35,254,-268,2,1,0
0,5,-71,6,35,272,246,2,1,0
0,6,-71,6,35,-249,266,2,1,0
0,7,-71,6,35,-253,-277,2,1,0
0,8,-71,6,35,-259,-265,2,1,0
0,9,-71,6,35,-138,-139,2,1,0
0,10,-71,6,35,67,-128,2,1,0
0,11,-71,6,35,-99,-354,2,1,0
0,12,-71,6,35,-74,-193,2,1,0
0,13,-71,6,35,105,-109,2,1,0
0,14,-71,6,35,-39,-370,2,1,0
0,15,-71,6,35,-47,-206,2,1,0
0,16,-71,6,35,124,-88,2,1,0
0,17,-71,6,35,47,-384,2,1,0
0,18,-71,6,35,-2,-197,2,1,0
0,19,-71,6,35,150,-33,2,1,0
0,20,-71,6,35,159,-331,2,1,0
0,21,-71,6,35,59,-197,2,1,0
0,22,-71,6,35,151,-9,2,1,0
0,23,-71,6,35,250,-274,2,1,0
0,24,-71,6,35,100,-183,2,1,0
0,25,-71,6,35,136,6,2,1,0
0,26,-71,6,35,296,-211,2,1,0
0,27,-71,6,35,145,-143,2,1,0
0,28,-71,6,35,139,66,2,1,0
0,29,-71,6,35,334,-157,2,1,0
0,30,-71,6,35,184,-94,2,1,0
0,31,-71,6,35,111,92,2,1,0
0,32,-71,6,35,365,-33,2,1,0
0,33,-71,6,35,200,-33,2,1,0
0,34,-71,6,35,100,109,2,1,0
0,35,-71,6,35,362,48,2,1,0
0,36,-71,6,35,205,15,2,1,0
0,37,-71,6,35,53,142,2,1,0
0,38,-71,6,35,341,154,2,1,0
0,39,-71,6,35,197,61,2,1,0
0,40,-71,6,35,21,146,2,1,0
0,41,-71,6,35,297,220,2,1,0
0,42,-71,6,35,172,109,2,1,0
0,43,-71,6,35,-7,142,2,1,0
0,44,-71,6,35,270,271,2,1,0
1,0,-69,6,3,438,-29,2,1,0
1,1,-69,6,3,-2,446,2,1,0
1,2,-69,6,3,-456,22,2,1,0
1,3,-69,6,3,-11,-436,2,1,0
1,4,-69,6,3,449,-3,2,1,0
1,5,-69,6,3,29,444,2,1,0
1,6,-69,6,3,-438,-29,2,1,0
1,7,-69,6,3,36,-457,2,1,0
1,8,-69,6,3,81,-441,2,1,0
1,9,-69,6,3,-11,-232,2,1,0
1,10,-69,6,3,112,-58,2,1,0
1,11,-69,6,3,216,-379,2,1,0
1,12,-69,6,3,36,-232,2,1,0
1,13,-69,6,3,119,-32,2,1,0
1,14,-69,6,3,299,-338,2,1,0
1,15,-69,6,3,104,-213,2,1,0
1,16,-69,6,3,126,4,2,1,0
1,17,-69,6,3,400,-232,2,1,0
1,18,-69,6,3,150,-175,2,1,0
1,19,-69,6,3,116,36,2,1,0
1,20,-69,6,3,420,-159,2,1,0
1,21,-69,6,3,203,-127,2,1,0
1,22,-69,6,3,111,76,2,1,0
1,23,-69,6,3,445,-83,2,1,0
1,24,-69,6,3,230,-75,2,1,0
1,25,-69,6,3,97,83,2,1,0
1,26,-69,6,3,427,75,2,1,0
1,27,-69,6,3,242,-22,2,1,0
1,28,-69,6,3,69,98,2,1,0
1,29,-69,6,3,401,212,2,1,0
1,30,-69,6,3,233,31,2,1,0
1,31,-69,6,3,42,117,2,1,0
1,32,-69,6,3,342,278,2,1,0
1,33,-69,6,3,209,102,2,1,0
1,34,-69,6,3,7,119,2,1,0
1,35,-69,6,3,291,335,2,1,0
1,36,-69,6,3,180,154,2,1,0
1,37,-69,6,3,-15,126,2,1,0
1,38,-69,6,3,181,411,2,1,0
1,39,-69,6,3,112,202,2,1,0
1,40,-69,6,3,-66,116,2,1,0
1,41,-69,6,3,37,449,2,1,0
1,42,-69,6,3,53,234,2,1,0
1,43,-69,6,3,-94,89,2,1,0
1,44,-69,6,3,-61,450,2,1,0
2,0,-68,6,36,464,-170,2,1,0
2,1,-68,6,36,144,462,2,1,0
2,2,-68,6,36,-489,100,2,1,0
2,3,-68,6,36,-116,-480,2,1,0
2,4,-68,6,36,481,-81,2,1,0
2,5,-68,6,36,92,494,2,1,0
2,6,-68,6,36,-489,87,2,1,0
2,7,-68,6,36,-39,-503,2,1,0
2,8,-68,6,36,69,-495,2,1,0
2,9,-68,6,36,-37,-256,2,1,0
2,10,-68,6,36,100,-74,2,1,0
2,11,-68,6,36,242,-465,2,1,0
2,12,-68,6,36,58,-249,2,1,0
2,13,-68,6,36,127,-13,2,1,0
2,14,-68,6,36,370,-309,2,1,0
2,15,-68,6,36,141,-179,2,1,0
2,16,-68,6,36,120,20,2,1,0
2,17,-68,6,36,484,-174,2,1,0
2,18,-68,6,36,215,-119,2,1,0
2,19,-68,6,36,97,74,2,1,0
2,20,-68,6,36,497,3,2,1,0
2,21,-68,6,36,254,-39,2,1,0
2,22,-68,6,36,80,91,2,1,0
2,23,-68,6,36,454,204,2,1,0
2,24,-68,6,36,248,33,2,1,0
2,25,-68,6,36,44,118,2,1,0
2,26,-68,6,36,363,349,2,1,0
2,27,-68,6,36,210,143,2,1,0
2,28,-68,6,36,-15,122,2,1,0
2,29,-68,6,36,203,455,2,1,0
2,30,-68,6,36,150,212,2,1,0
2,31,-68,6,36,-64,96,2,1,0
2,32,-68,6,36,82,484,2,1,0
2,33,-68,6,36,74,219,2,1,0
2,34,-68,6,36,-101,85,2,1,0
2,35,-68,6,36,-154,469,2,1,0
2,36,-68,6,36,1,223,2,1,0
2,37,-68,6,36,-113,28,2,1,0
2,38,-68,6,36,-257,411,2,1,0
2,39,-68,6,36,-140,210,2,1,0
2,40,-68,6,36,-128,17,2,1,0
2,41,-68,6,36,-412,243,2,1,0
2,42,-68,6,36,-161,185,2,1,0
2,43,-68,6,36,-125,-39,2,1,0
2,44,-68,6,36,-470,135,2,1,0
3,0,-68,6,4,196,414,2,1,0
3,1,-68,6,4,-390,200,2,1,0
3,2,-68,6,4,-205,-414,2,1,0
3,3,-68,6,4,420,-161,2,1,0
3,4,-68,6,4,143,466,2,1,0
3,5,-68,6,4,-436,130,2,1,0
3,6,-68,6,4,-145,-410,2,1,0
3,7,-68,6,4,462,-133,2,1,0
3,8,-68,6,4,490,-33,2,1,0
3,9,-68,6,4,194,-80,2,1,0
3,10,-68,6,4,59,104,2,1,0
3,11,-68,6,4,451,81,2,1,0
3,12,-68,6,4,246,19,2,1,0
3,13,-68,6,4,15,108,2,1,0
3,14,-68,6,4,392,282,2,1,0
3,15,-68,6,4,220,106,2,1,0
3,16,-68,6,4,-43,110,2,1,0
3,17,-68,6,4,273,383,2,1,0
3,18,-68,6,4,150,138,2,1,0
3,19,-68,6,4,-55,94,2,1,0
3,20,-68,6,4,167,435,2,1,0
3,21,-68,6,4,98,185,2,1,0
3,22,-68,6,4,-77,55,2,1,0
3,23,-68,6,4,-54,464,2,1,0
3,24,-68,6,4,13,233,2,1,0
3,25,-68,6,4,-99,42,2,1,0
3,26,-68,6,4,-252,387,2,1,0
3,27,-68,6,4,-63,199,2,1,0
3,28,-68,6,4,-102,-23,2,1,0
3,29,-68,6,4,-341,340,2,1,0
3,30,-68,6,4,-164,171,2,1,0
3,31,-68,6,4,-104,-66,2,1,0
3,32,-68,6,4,-446,176,2,1,0
3,33,-68,6,4,-189,107,2,1,0
3,34,-68,6,4,-56,-75,2,1,0
3,35,-68,6,4,-480,-4,2,1,0
3,36,-68,6,4,-217,49,2,1,0
3,37,-68,6,4,-49,-103,2,1,0
3,38,-68,6,4,-424,-135,2,1,0
3,39,-68,6,4,-222,-24,2,1,0
3,40,-68,6,4,-10,-111,2,1,0
3,41,-68,6,4,-337,-351,2,1,0
3,42,-68,6,4,-194,-122,2,1,0
3,43,-68,6,4,40,-118,2,1,0
3,44,-68,6,4,-220,-401,2,1,0
4,0,-71,6,9,-269,334,2,1,0
4,1,-71,6,9,-294,-213,2,1,0
4,2,-71,6,9,231,-344,2,1,0
4,3,-71,6,9,292,172,2,1,0
4,4,-71,6,9,-266,275,2,1,0
4,5,-71,6,9,-253,-268,2,1,0
4,6,-71,6,9,234,-304,2,1,0
4,7,-71,6,9,203,242,2,1,0
4,8,-71,6,9,163,305,2,1,0
4,9,-71,6,9,113,175,2,1,0
4,10,-71,6,9,-57,171,2,1,0
4,11,-71,6,9,62,325,2,1,0
4,12,-71,6,9,83,176,2,1,0
4,13,-71,6,9,-72,122,2,1,0
4,14,-71,6,9,96,350,2,1,0
4,15,-71,6,9,54,212,2,1,0
4,16,-71,6,9,-109,108,2,1,0
4,17,-71,6,9,-44,378,2,1,0
4,18,-71,6,9,-34,207,2,1,0
